date,open,high,low,close,volume
2025-03-03,18923.36,18992.3,18216.63,18350.19,8170140000.0
2025-03-04,18176.43,18589.49,17956.6,18285.16,8469180000.0
2025-03-05,18312.97,18604.47,18144.73,18552.73,7048430000.0
2025-03-06,18204.53,18439.24,17980.39,18069.26,7686200000.0
2025-03-07,18029.85,18243.58,17768.59,18196.22,8135420000.0
2025-03-10,17840.32,17868.07,17291.82,17468.32,8636040000.0
2025-03-11,17443.09,17687.4,17238.24,17436.1,9177320000.0
2025-03-12,17711.41,17800.1,17436.27,17648.45,7746430000.0
2025-03-13,17598.56,17621.91,17239.44,17303.01,7147050000.0
2025-03-14,17523.3,17773.48,17491.08,17754.09,7093850000.0
2025-03-17,17722.55,17925.94,17645.87,17808.66,6306340000.0
2025-03-18,17662.57,17682.92,17431.67,17504.12,6450530000.0
2025-03-19,17590.12,17917.54,17533.94,17750.79,6302310000.0
2025-03-20,17586.06,17903.2,17576.82,17691.63,6098330000.0
2025-03-21,17519.84,17798.06,17474.81,17784.05,8837930000.0
2025-03-24,18046.18,18210.05,18030.68,18188.59,6787790000.0
2025-03-25,18207.97,18281.13,18170.42,18271.86,6475790000.0
2025-03-26,18217.33,18236.55,17837.26,17899.01,9091510000.0
2025-03-27,17811.24,17988.02,17743.8,17804.03,8002470000.0
2025-03-28,17722.09,17763.28,17283.06,17322.99,7015410000.0
2025-03-31,17045.44,17334.98,16854.37,17299.29,8122180000.0
2025-04-01,17221.55,17506.58,17149.36,17449.89,7756540000.0
2025-04-02,17207.01,17716.52,17181.27,17601.05,9126630000.0
2025-04-03,16790.53,16889.34,16533.04,16550.61,9461330000.0
2025-04-04,16045.6,16128.16,15575.68,15587.79,11038180000.0
2025-04-07,14978.03,16292.28,14784.03,15603.26,12483580000.0
2025-04-08,16181.04,16316.51,15053.39,15267.91,10496650000.0
2025-04-09,15295.44,17202.94,15270.28,17124.97,13479740000.0
2025-04-10,16635.45,16712.37,15894.27,16387.31,11861670000.0
2025-04-11,16358.53,16753.41,16228.04,16724.46,9444890000.0
2025-04-14,17120.44,17136.55,16661.26,16831.48,9667260000.0
2025-04-15,16842.39,16979.96,16753.22,16823.17,7483050000.0
2025-04-16,16499.69,16600.36,16066.46,16307.16,7909190000.0
2025-04-17,16399.97,16408.51,16181.17,16286.45,7046290000.0
2025-04-21,16052.76,16066.79,15685.33,15870.9,6678730000.0
2025-04-22,16079.94,16410.56,16038.73,16300.42,6981900000.0
2025-04-23,16880.29,17029.86,16642.66,16708.05,8564870000.0
2025-04-24,16754.76,17174.35,16744.97,17166.04,7607400000.0
2025-04-25,17182.11,17404.49,17110.72,17382.94,7412930000.0
2025-04-28,17390.93,17467.35,17128.71,17366.13,10313290000.0
2025-04-29,17270.76,17500.41,17256.2,17461.32,13001930000.0
2025-04-30,17099.98,17483.82,16959.53,17446.34,8595330000.0
2025-05-01,17793.14,17922.83,17688.1,17710.74,8409690000.0
2025-05-02,17868.76,18048.83,17812.05,17977.73,8180190000.0
2025-05-05,17817.01,17965.64,17792.08,17844.24,7075320000.0
2025-05-06,17623.21,17830.35,17592.88,17689.66,6958220000.0
2025-05-07,17706.83,17820.3,17503.01,17738.16,7977870000.0
2025-05-08,17920.15,18096.0,17776.0,17928.14,8500390000.0
2025-05-09,18022.55,18068.9,17853.84,17928.92,8835140000.0
2025-05-12,18674.55,18710.22,18472.71,18708.34,10717670000.0
2025-05-13,18761.23,19065.96,18745.5,19010.08,9242230000.0
2025-05-14,19074.72,19174.55,19023.61,19146.81,11744820000.0
2025-05-15,19031.24,19207.22,18967.78,19112.32,10546350000.0
2025-05-16,19151.54,19213.42,19038.48,19211.1,10509820000.0
2025-05-19,18937.42,19227.22,18937.42,19215.46,13080030000.0
2025-05-20,19132.06,19186.68,19015.63,19142.71,9047100000.0
2025-05-21,19002.94,19241.41,18799.2,18872.64,11112460000.0
2025-05-22,18888.05,19061.11,18840.34,18925.73,8289710000.0
2025-05-23,18622.38,18841.52,18599.69,18737.21,8730370000.0
2025-05-27,19014.44,19210.95,18961.69,19199.16,9397454000.0
2025-05-28,19232.62,19276.83,19084.38,19100.94,8087530000.0
2025-05-29,19389.39,19389.39,19091.54,19175.87,11016850000.0
2025-05-30,19131.22,19157.78,18847.74,19113.77,9042260000.0
2025-06-02,19063.06,19252.71,18985.3,19242.61,7779940000.0
2025-06-03,19288.66,19459.28,19224.7,19398.96,7990230000.0
2025-06-04,19434.94,19493.45,19359.09,19460.49,7695660000.0
2025-06-05,19518.2,19610.51,19226.22,19298.45,8782360000.0
2025-06-06,19526.99,19593.18,19464.84,19529.95,7291590000.0
2025-06-09,19573.14,19637.56,19531.1,19591.24,9538700000.0
2025-06-10,19620.11,19730.38,19539.09,19714.99,11221560000.0
2025-06-11,19779.35,19800.46,19551.34,19615.88,11081269359.0
2025-06-12,19578.87,19690.61,19553.56,19662.48,16308730000.0
2025-06-13,19450.92,19591.87,19367.42,19406.83,9001850000.0
2025-06-16,19550.75,19733.31,19550.75,19701.21,9619130000.0
2025-06-17,19627.08,19666.56,19485.44,19521.09,8519930000.0
2025-06-18,19526.92,19660.77,19489.56,19546.27,7818790000.0
2025-06-20,19639.41,19696.11,19380.58,19447.41,9969140000.0
2025-06-23,19427.01,19643.7,19334.98,19630.97,9088000000.0
2025-06-24,19809.61,19946.72,19795.29,19912.53,8330090000.0
2025-06-25,20013.95,20052.78,19918.08,19973.55,8256120000.0
2025-06-26,20062.19,20187.15,19982.48,20167.91,8383380000.0
2025-06-27,20217.26,20311.51,20095.05,20273.46,11108710595.0
2025-06-30,20360.15,20418.31,20266.36,20369.73,8220420000.0
2025-07-01,20290.61,20339.05,20105.42,20202.89,8631710000.0
2025-07-02,20184.37,20397.22,20181.74,20393.13,8378750000.0
2025-07-03,20497.66,20624.51,20480.22,20601.1,6177910000.0
2025-07-07,20490.55,20511.82,20323.02,20412.52,8345710000.0
2025-07-08,20466.93,20480.89,20377.35,20418.46,8437480000.0
2025-07-09,20522.09,20645.41,20486.38,20611.34,9978310000.0
2025-07-10,20636.48,20655.39,20495.14,20630.66,9781380000.0
2025-07-11,20562.88,20647.98,20509.75,20585.53,8135800000.0
2025-07-14,20592.56,20672.34,20492.63,20640.33,8010060000.0
2025-07-15,20822.76,20836.04,20670.58,20677.8,8399060000.0
2025-07-16,20717.81,20751.05,20507.06,20730.49,9056640000.0
2025-07-17,20760.32,20911.83,20735.55,20884.27,9994550000.0
2025-07-18,20959.57,20980.56,20846.12,20895.66,9354580000.0
2025-07-21,20960.33,21077.37,20957.44,20974.17,12046970000.0
2025-07-22,20982.21,20985.34,20750.9,20892.69,10583710000.0
2025-07-23,20966.47,21023.85,20870.67,21020.02,10972770000.0
2025-07-24,21083.82,21113.1,21001.68,21057.96,12741070000.0
2025-07-25,21059.94,21159.8,21036.85,21108.32,11028310000.0
2025-07-28,21176.4,21202.18,21122.12,21178.58,10612580000.0
2025-07-29,21286.73,21303.96,21081.69,21098.29,10040610000.0
2025-07-30,21140.4,21230.88,21016.92,21129.67,9311770000.0
2025-07-31,21457.48,21457.48,21078.67,21122.45,9917220000.0
2025-08-01,20830.64,20865.63,20560.17,20650.13,9667420000.0
2025-08-04,20853.91,21055.24,20833.86,21053.58,7355970000.0
2025-08-05,21092.1,21138.72,20893.29,20916.55,7982940000.0
2025-08-06,20955.22,21183.88,20937.49,21169.42,8580020000.0
2025-08-07,21325.01,21408.15,21090.05,21242.7,8979190000.0
2025-08-08,21316.37,21464.53,21284.97,21450.02,8669200000.0
2025-08-11,21459.65,21549.73,21346.62,21385.4,9099730000.0
2025-08-12,21507.44,21689.68,21386.25,21681.9,8382820000.0
2025-08-13,21764.55,21803.75,21645.14,21713.14,8763080000.0
2025-08-14,21649.21,21766.29,21627.13,21710.67,9110860000.0
2025-08-15,21709.34,21716.18,21567.46,21622.98,8158830000.0
2025-08-18,21616.82,21651.5,21559.33,21629.77,8260970000.0
2025-08-19,21607.45,21610.24,21277.71,21314.95,8461660000.0
2025-08-20,21269.67,21269.67,20905.99,21172.86,7810310000.0
2025-08-21,21112.52,21198.76,21013.53,21100.31,6530580000.0
